,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
86,0.37557530403137207,0.0844604192669315,0.001130390167236328,0.00010514852935227857,0.1,"(100, 25, 100)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 20}",0.5735215053763442,0.6122503840245777,0.6978878648233487,0.7560344827586206,0.6753192848020434,0.6623891117599404,0.06426219380171332,28,0.6459146187353516,0.6740173252114701,0.6919305037185004,0.7132012703284195,0.7644911048185767,0.6979109645624636,0.039942459663005914
87,0.3895608425140381,0.0636260154624226,0.0011960506439208985,4.2909674799801634e-05,0.1,"(100, 25, 100)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 25}",0.5735215053763442,0.6122503840245777,0.6978878648233487,0.7560344827586206,0.6753192848020434,0.6623891117599404,0.06426219380171332,28,0.6459146187353516,0.6740173252114701,0.6919305037185004,0.7132012703284195,0.7644911048185767,0.6979109645624636,0.039942459663005914
88,0.39536595344543457,0.0712549375423071,0.0013045787811279297,0.00018170739432491457,0.1,"(100, 25, 100)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 30}",0.5735215053763442,0.6122503840245777,0.6978878648233487,0.7560344827586206,0.6753192848020434,0.6623891117599404,0.06426219380171332,28,0.6459146187353516,0.6740173252114701,0.6919305037185004,0.7132012703284195,0.7644911048185767,0.6979109645624636,0.039942459663005914
89,0.4054868221282959,0.0724419271258553,0.0012932300567626953,0.00025287126335324036,0.1,"(100, 25, 100)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 35}",0.5735215053763442,0.6122503840245777,0.6978878648233487,0.7560344827586206,0.6753192848020434,0.6623891117599404,0.06426219380171332,28,0.6459146187353516,0.6740173252114701,0.6919305037185004,0.7132012703284195,0.7644911048185767,0.6979109645624636,0.039942459663005914
90,0.35578322410583496,0.07691466142799591,0.0008481502532958985,8.562933297347013e-05,0.1,"(100, 25, 100)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 40}",0.5735215053763442,0.6122503840245777,0.6978878648233487,0.7560344827586206,0.6753192848020434,0.6623891117599404,0.06426219380171332,28,0.6459146187353516,0.6740173252114701,0.6919305037185004,0.7132012703284195,0.7644911048185767,0.6979109645624636,0.039942459663005914
91,0.27600750923156736,0.04448334572845509,0.0007606029510498046,1.5914792867745214e-05,0.1,"(100, 25, 100)",45,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 45}",0.5735215053763442,0.6122503840245777,0.6978878648233487,0.7560344827586206,0.6753192848020434,0.6623891117599404,0.06426219380171332,28,0.6459146187353516,0.6740173252114701,0.6919305037185004,0.7132012703284195,0.7644911048185767,0.6979109645624636,0.039942459663005914
92,0.2757673740386963,0.04469472638565191,0.000833892822265625,0.00016875728499545205,0.1,"(100, 25, 100)",50,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 50}",0.5735215053763442,0.6122503840245777,0.6978878648233487,0.7560344827586206,0.6753192848020434,0.6623891117599404,0.06426219380171332,28,0.6459146187353516,0.6740173252114701,0.6919305037185004,0.7132012703284195,0.7644911048185767,0.6979109645624636,0.039942459663005914
93,0.27901649475097656,0.04753514517947296,0.0007679462432861328,4.661799641647431e-05,0.1,"(100, 25, 100)",55,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 55}",0.5735215053763442,0.6122503840245777,0.6978878648233487,0.7560344827586206,0.6753192848020434,0.6623891117599404,0.06426219380171332,28,0.6459146187353516,0.6740173252114701,0.6919305037185004,0.7132012703284195,0.7644911048185767,0.6979109645624636,0.039942459663005914
94,0.27773408889770507,0.044467891949795356,0.0008525848388671875,9.548644745672582e-05,0.1,"(100, 25, 100)",60,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 60}",0.5735215053763442,0.6122503840245777,0.6978878648233487,0.7560344827586206,0.6753192848020434,0.6623891117599404,0.06426219380171332,28,0.6459146187353516,0.6740173252114701,0.6919305037185004,0.7132012703284195,0.7644911048185767,0.6979109645624636,0.039942459663005914
95,0.04869537353515625,0.035416017895969196,0.0006726741790771485,5.787035312365346e-05,0.01,"(50, 50)",2,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 2}",0.25806451612903225,0.24999999999999997,0.2500000000000001,0.2500000000000001,0.2672413793103448,0.2550130775937228,0.006804411385495791,265,0.3099681614957322,0.24999999999999997,0.25000000000000006,0.25,0.2836817653890825,0.26872998537696297,0.02439909814643642
